,Unnamed: 0,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,attribute_term,ethnic_identity,Person Assigned to,person assigned to
0,0.0,Women are less than men,women,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women are less than men,women,less than men,['ukwuani'],Oluchi,
1,1.0,Women should be family-oriented,women,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women should be family-oriented,women,family-oriented,['ukwuani'],Oluchi,
2,2.0,Women 'expire' after a certain age,women,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women 'expire' after a certain age,women,'expire' after a certain age,['ukwuani'],Oluchi,
3,3.0,Men  are strong,men,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,sv,Men  are strong,men,strong,['ukwuani'],Oluchi,
4,4.0,Men are the head,men,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Men are the head,men,the head,['ukwuani'],Oluchi,
5,5.0,Men do a lot of evil things,men,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Men do a lot of evil things,men,do a lot of evil things,['ukwuani'],Oluchi,
6,6.0,Hausas are religious extremists,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,Hausas are religious extremists,hausa people,religious extremists,['ukwuani'],Oluchi,
7,7.0,Hausas are terrorists,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,et,Hausas are terrorists,hausa people,terrorists,['ukwuani'],Oluchi,
8,8.0,Hausas are aggressive,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas are aggressive,hausa people,aggressive,['ukwuani'],Oluchi,
9,9.0,Hausas are uneducated,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas are uneducated,hausa people,uneducated,['ukwuani'],Oluchi,
10,10.0,Hausas have a regressive mindset,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas have a regressive mindset,hausa people,regressive mindset,['ukwuani'],Oluchi,
11,11.0,Yorubas are backstabbers,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Yorubas are backstabbers,yoruba people,backstabbers,['ukwuani'],Oluchi,
12,12.0,Igbos love money,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Igbos love money,igbo people,love money,['ukwuani'],Oluchi,
13,14.0,Igbos are rich,ethnicity_region,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Igbos are rich,igbo people,rich,['ukwuani'],Oluchi,
14,18.0,Muslims are extremists,religion,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,ca,Muslims are extremists,muslims,extremists,['ukwuani'],Oluchi,
15,19.0,Muslims are aggressive,religion,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Muslims are aggressive,muslims,aggressive,['ukwuani'],Oluchi,
