,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
0,Women are less than men,women,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women are less than men,['ukwuani'],women,less than men
1,Women should be family-oriented,women,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women should be family-oriented,['ukwuani'],women,family-oriented
2,Women 'expire' after a certain age,women,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women 'expire' after a certain age,['ukwuani'],women,'expire' after a certain age
3,Men  are strong,men,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,sv,Men  are strong,['ukwuani'],men,strong
4,Men are the head,men,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Men are the head,['ukwuani'],men,the head
5,Men do a lot of evil things,men,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Men do a lot of evil things,['ukwuani'],men,do a lot of evil things
6,Hausas are religious extremists,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,Hausas are religious extremists,['ukwuani'],hausa,religious extremists
7,Hausas are terrorists,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,et,Hausas are terrorists,['ukwuani'],hausa,terrorists
8,Hausas are aggressive,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas are aggressive,['ukwuani'],hausa,aggressive
9,Hausas are uneducated,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas are uneducated,['ukwuani'],hausa,uneducated
10,Hausas have a regressive mindset,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas have a regressive mindset,['ukwuani'],hausa,a regressive mindset
11,Yorubas are backstabbers,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Yorubas are backstabbers,['ukwuani'],yoruba,backstabbers
12,Igbos love money,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Igbos love money,['ukwuani'],igbo,love money
14,Igbos are rich,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Igbos are rich,['ukwuani'],igbo,rich
18,Muslims are extremists,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,ca,Muslims are extremists,['ukwuani'],muslims,extremists
19,Muslims are aggressive,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Muslims are aggressive,['ukwuani'],muslims,aggressive
20,Christians are tolerant,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Christians are tolerant,['ukwuani'],christians,tolerant
21,Christians are kind,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Christians are kind,['ukwuani'],christians,kind
22,Old people are wise,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Old people are wise,['ukwuani'],old people,are wise
23,Old people do too much,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Old people do too much,['ukwuani'],old people,do too much
24,Young people do not listen,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people do not listen,['ukwuani'],young people,do not listen
25,Young people think they have all the time in the world,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people think they have all the time in the world,['ukwuani'],young people,think they have all the time in the world
26,Young people are reckless,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people are reckless,['ukwuani'],young people,are reckless
27,Doctors are smart,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Doctors are smart,['ukwuani'],doctors,smart
28,Doctors are hard-working,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Doctors are hard-working,['ukwuani'],doctors,hard-working
29,Artisans lie a lot,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,Artisans lie a lot,['ukwuani'],artisans,lie a lot
32,Women are weak,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,Women are weak,"['igbo', 'idoma']",women,weak
33,women are feminine,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are feminine,"['igbo', 'idoma']",women,feminine
34,women are dependent,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are dependent,"['igbo', 'idoma']",women,dependent
35,women are dumb,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are dumb,"['igbo', 'idoma']",women,dumb
36,women are small,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are small,"['igbo', 'idoma']",women,small
37,women are good cooks,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are good cooks,"['igbo', 'idoma']",women,good cooks
38,women are bad drivers,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,af,women are bad drivers,"['igbo', 'idoma']",women,bad drivers
39,women are vulnerable,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are vulnerable,"['igbo', 'idoma']",women,vulnerable
40,women are naive,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are naive,"['igbo', 'idoma']",women,naive
41,women talk too much,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women talk too much,"['igbo', 'idoma']",women,talk too much
42,women are impressionable,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are impressionable,"['igbo', 'idoma']",women,impressionable
43,women are gold diggers,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,af,women are gold diggers,"['igbo', 'idoma']",women,gold diggers
44,Men are strong,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,Men are strong,"['igbo', 'idoma']",men,strong
45,men  are smart,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,men  are smart,"['igbo', 'idoma']",men,smart
46,men are hustlers,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are hustlers,"['igbo', 'idoma']",men,hustlers
47,men are bad cooks,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,men are bad cooks,"['igbo', 'idoma']",men,bad cooks
48,men are logical,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,es,men are logical,"['igbo', 'idoma']",men,logical
49,men are big,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are big,"['igbo', 'idoma']",men,big
50,men are providers,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are providers,"['igbo', 'idoma']",men,providers
51,men are emotionless,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,men are emotionless,"['igbo', 'idoma']",men,emotionless
52,Igbo people are resourceful,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are resourceful,"['igbo', 'idoma']",igbo,are resourceful
53,Igbo people are cheats,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are cheats,"['igbo', 'idoma']",igbo,are cheats
54,Igbo people are business oriented,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are business oriented,"['igbo', 'idoma']",igbo,are business oriented
55,Yoruba people are educated,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are educated,"['igbo', 'idoma']",yoruba,are educated
56,Yoruba people are intelligent,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are intelligent,"['igbo', 'idoma']",yoruba,are intelligent
57,Yoruba people are aggressive,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people are aggressive,"['igbo', 'idoma']",yoruba,are aggressive
58,Yoruba people like to fight,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people like to fight,"['igbo', 'idoma']",yoruba,like to fight
59,Yoruba people hate others,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people hate others,"['igbo', 'idoma']",yoruba,hate others
60,Yoruba people are ugly,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are ugly,"['igbo', 'idoma']",yoruba,are ugly
61,Hausa people are dirty,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,Hausa people are dirty,"['igbo', 'idoma']",hausa,are dirty
62,Hausa people sell suya,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,it,Hausa people sell suya,"['igbo', 'idoma']",hausa,sell suya
63,Hausa people are muslims,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,et,Hausa people are muslims,"['igbo', 'idoma']",hausa,are muslims
64,Hausa people are quiet,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,Hausa people are quiet,"['igbo', 'idoma']",hausa,are quiet
65,Hausa people are slim,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Hausa people are slim,"['igbo', 'idoma']",hausa,are slim
66,Muslims are conservative,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Muslims are conservative,"['igbo', 'idoma']",muslims,conservative
67,Christians are judgemental,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,Christians are judgemental,"['igbo', 'idoma']",christians,judgemental
68,Traditional worshippers are old school,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Traditional worshippers are old school,"['igbo', 'idoma']",traditional worshippers,old school
69,Muslims are terrorists,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Muslims are terrorists,"['igbo', 'idoma']",muslims,terrorists
70,Muslims are Bokoharam,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,et,Muslims are Bokoharam,"['igbo', 'idoma']",muslims,bokoharam
71,Old people are old school,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Old people are old school,"['igbo', 'idoma']",old people,are old school
72,old people are conservative,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people are conservative,"['igbo', 'idoma']",old people,are conservative
73,old people are weak,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people are weak,"['igbo', 'idoma']",old people,are weak
74,old people complain too much,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people complain too much,"['igbo', 'idoma']",old people,complain too much
75,young people are rude,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,young people are rude,"['igbo', 'idoma']",young people,are rude
76,young people are selfish,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,young people are selfish,"['igbo', 'idoma']",young people,are selfish
77,Doctors are smart,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Doctors are smart,"['igbo', 'idoma']",doctors,smart
79,engineers are smart,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,engineers are smart,"['igbo', 'idoma']",engineers,smart
80,nurses are prostitutes,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,nurses are prostitutes,"['igbo', 'idoma']",nurses,prostitutes
