,identity_term,attribute_group,Total,Male,Female,Christianity,Atheism,Agnostic,Islam,Other,caucasian,delta igbo,ebira,fon,fulani,gamai,goemai,hausa,ibibio,idoma,igala,igbira,igbo,ijaw,ishan,jukun,kikuyu,luhya,luo,mossi,mwaghavul,nupe,other,other_black,peulh,serrere,tiv,ukwuani,urhobo,wolof,yoruba,Nigerian,Kenyan,Senegalese,Other Nationality,Nigeria,Kenya,Senegal,Other Country
0,men,"['strong', 'powerful', 'are strong', 'strong faith', 'a strong community', 'strong hearted', 'strong too', 'weak or strong', 'mentally strong', 'strong headed']",25,13,12,14,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,3,17,0,3,5
1,women,"['emotional', 'emotional ', 'are overly emotional']",24,14,10,15,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,1,3,13,6,1,4
2,men,"['providers', 'the providers', ""aren't financial providers"", 'the main providers', 'the provider', 'should be provider']",23,13,10,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,2,15,5,0,3
3,women,"['weak', 'are weak', 'weaker', 'physically weaker']",21,11,10,13,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,2,13,3,2,3
4,muslims,"['terrorists', 'terrorist', 'associated with terrorism', 'affiliated to terror groups', 'erroneously equated to terrorism', 'are terrorists', 'criminals']",18,9,9,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,13,2,0,3
5,women,"['caring', 'compassionate', 'need constant care']",16,9,7,12,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,10,5,0,1
6,old people,"['are wise', 'are intelligent', 'pretend to be wise', 'are smart', 'wise', 'are wise but not all', 'wisdom', 'wiser']",16,7,9,11,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,12,0,3,1
7,doctors,"['smart', 'emotionally intelligent', 'intelligent', 'aren’t smart', 'intellects', 'street smart', 'smart ', 'highly intelligent', 'smart and intelligent', 'perceived as smart', 'termed as smart']",15,6,9,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,10,1,0,4
8,women,"['strong', 'powerful', 'are strong', 'strong faith', 'a strong community', 'strong hearted', 'strong too', 'weak or strong', 'mentally strong', 'strong headed']",13,3,10,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,2,6,3,2,2
9,men,"['aggressive', 'are aggressive', 'violent', 'are violent', 'violent and aggressive', 'aggressive and violent', 'angry']",13,9,4,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,9,2,0,2
