Unnamed: 0,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,Person Assigned to
0,Women are less than men,women,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women are less than men,women,,less than men,,['ukwuani'],Oluchi
1,Women should be family-oriented,women,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women should be family-oriented,women,,family-oriented,,['ukwuani'],Oluchi
2,Women 'expire' after a certain age,women,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Women 'expire' after a certain age,women,,'expire' after a certain age,,['ukwuani'],Oluchi
3,Men  are strong,men,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,sv,Men  are strong,men,,strong,,['ukwuani'],Oluchi
4,Men are the head,men,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Men are the head,men,,the head,,['ukwuani'],Oluchi
5,Men do a lot of evil things,men,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Men do a lot of evil things,men,,do a lot of evil things,,['ukwuani'],Oluchi
6,Hausas are religious extremists,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,Hausas are religious extremists,hausa,hausa people,religious extremists,,['ukwuani'],Oluchi
7,Hausas are terrorists,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,et,Hausas are terrorists,hausa,hausa people,terrorists,,['ukwuani'],Oluchi
8,Hausas are aggressive,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas are aggressive,hausa,hausa people,aggressive,,['ukwuani'],Oluchi
9,Hausas are uneducated,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas are uneducated,hausa,hausa people,uneducated,,['ukwuani'],Oluchi
10,Hausas have a regressive mindset,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Hausas have a regressive mindset,hausa,hausa people,a regressive mindset,regressive mindset,['ukwuani'],Oluchi
11,Yorubas are backstabbers,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Yorubas are backstabbers,yoruba,yoruba people,backstabbers,,['ukwuani'],Oluchi
12,Igbos love money,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Igbos love money,igbo,igbo people,love money,,['ukwuani'],Oluchi
14,Igbos are rich,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Igbos are rich,igbo,igbo people,rich,,['ukwuani'],Oluchi
18,Muslims are extremists,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,ca,Muslims are extremists,muslims,,extremists,,['ukwuani'],Oluchi
19,Muslims are aggressive,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Muslims are aggressive,muslims,,aggressive,,['ukwuani'],Oluchi
20,Christians are tolerant,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Christians are tolerant,christians,,tolerant,,['ukwuani'],Oluchi
21,Christians are kind,religion,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Christians are kind,christians,,kind,,['ukwuani'],Oluchi
22,Old people are wise,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Old people are wise,old people,,are wise,,['ukwuani'],Oluchi
23,Old people do too much,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Old people do too much,old people,,do too much,,['ukwuani'],Oluchi
24,Young people do not listen,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people do not listen,young people,,do not listen,,['ukwuani'],Oluchi
25,Young people think they have all the time in the world,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people think they have all the time in the world,young people,,think they have all the time in the world,,['ukwuani'],Oluchi
26,Young people are reckless,age,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people are reckless,young people,,are reckless,,['ukwuani'],Oluchi
27,Doctors are smart,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Doctors are smart,doctors,,smart,,['ukwuani'],Oluchi
28,Doctors are hard-working,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Doctors are hard-working,doctors,,hard-working,,['ukwuani'],Oluchi
29,Artisans lie a lot,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,Artisans lie a lot,artisans,,lie a lot,,['ukwuani'],Oluchi
32,Women are weak,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,Women are weak,women,,weak,,"['igbo', 'idoma']",Oluchi
33,women are feminine,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are feminine,women,,feminine,,"['igbo', 'idoma']",Oluchi
34,women are dependent,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are dependent,women,,dependent,,"['igbo', 'idoma']",Oluchi
35,women are dumb,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are dumb,women,,dumb,,"['igbo', 'idoma']",Oluchi
36,women are small,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are small,women,,small,,"['igbo', 'idoma']",Oluchi
37,women are good cooks,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are good cooks,women,,good cooks,,"['igbo', 'idoma']",Oluchi
38,women are bad drivers,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,af,women are bad drivers,women,,bad drivers,,"['igbo', 'idoma']",Oluchi
39,women are vulnerable,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are vulnerable,women,,vulnerable,,"['igbo', 'idoma']",Oluchi
40,women are naive,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are naive,women,,naive,,"['igbo', 'idoma']",Oluchi
41,women talk too much,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women talk too much,women,,talk too much,,"['igbo', 'idoma']",Oluchi
42,women are impressionable,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are impressionable,women,,impressionable,,"['igbo', 'idoma']",Oluchi
43,women are gold diggers,women,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,af,women are gold diggers,women,,gold diggers,,"['igbo', 'idoma']",Oluchi
44,Men are strong,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,Men are strong,men,,strong,,"['igbo', 'idoma']",Oluchi
45,men  are smart,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,men  are smart,men,,smart,,"['igbo', 'idoma']",Oluchi
46,men are hustlers,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are hustlers,men,,hustlers,,"['igbo', 'idoma']",Oluchi
47,men are bad cooks,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,men are bad cooks,men,,bad cooks,,"['igbo', 'idoma']",Oluchi
48,men are logical,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,es,men are logical,men,,logical,,"['igbo', 'idoma']",Oluchi
49,men are big,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are big,men,,big,,"['igbo', 'idoma']",Oluchi
50,men are providers,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are providers,men,,providers,,"['igbo', 'idoma']",Oluchi
51,men are emotionless,men,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,men are emotionless,men,,emotionless,,"['igbo', 'idoma']",Oluchi
52,Igbo people are resourceful,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are resourceful,igbo,igbo people,are resourceful,,"['igbo', 'idoma']",Oluchi
53,Igbo people are cheats,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are cheats,igbo,igbo people,are cheats,,"['igbo', 'idoma']",Oluchi
54,Igbo people are business oriented,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are business oriented,igbo,igbo people,are business oriented,,"['igbo', 'idoma']",Oluchi
55,Yoruba people are educated,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are educated,yoruba,yoruba people,are educated,,"['igbo', 'idoma']",Oluchi
56,Yoruba people are intelligent,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are intelligent,yoruba,yoruba people,are intelligent,,"['igbo', 'idoma']",Oluchi
57,Yoruba people are aggressive,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people are aggressive,yoruba,yoruba people,are aggressive,,"['igbo', 'idoma']",Oluchi
58,Yoruba people like to fight,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people like to fight,yoruba,yoruba people,like to fight,,"['igbo', 'idoma']",Oluchi
59,Yoruba people hate others,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people hate others,yoruba,yoruba people,hate others,,"['igbo', 'idoma']",Oluchi
60,Yoruba people are ugly,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are ugly,yoruba,yoruba people,are ugly,,"['igbo', 'idoma']",Oluchi
61,Hausa people are dirty,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,Hausa people are dirty,hausa,hausa people,are dirty,,"['igbo', 'idoma']",Oluchi
62,Hausa people sell suya,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,it,Hausa people sell suya,hausa,hausa people,sell suya,,"['igbo', 'idoma']",Oluchi
63,Hausa people are muslims,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,et,Hausa people are muslims,hausa,hausa people,are muslims,,"['igbo', 'idoma']",Oluchi
64,Hausa people are quiet,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,Hausa people are quiet,hausa,hausa people,are quiet,,"['igbo', 'idoma']",Oluchi
65,Hausa people are slim,ethnicity_region,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Hausa people are slim,hausa,hausa people,are slim,,"['igbo', 'idoma']",Oluchi
66,Muslims are conservative,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Muslims are conservative,muslims,,conservative,,"['igbo', 'idoma']",Oluchi
67,Christians are judgemental,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,Christians are judgemental,christians,,judgemental,,"['igbo', 'idoma']",Oluchi
68,Traditional worshippers are old school,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Traditional worshippers are old school,traditional worshippers,,old school,,"['igbo', 'idoma']",Oluchi
