stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,person assigned to
People from Ikwerre fight for land ownership over anything else,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Ikwerre fight for land ownership over anything else,people from ikwerre,Ikwerre people,fight for land ownership over anything else,fight for land ownership,['ukwuani'],Oluchi
People from Anambra are very industrious,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Anambra are very industrious,people from anambra,people from Anambra state ,are very industrious,,['ukwuani'],Oluchi
People from Anambra are rich,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Anambra are rich,people from anambra,people from Anambra state ,are rich,,['ukwuani'],Oluchi
People from Cross River or Akwa Ibom are promiscuous,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Cross River or Akwa Ibom are promiscuous,people from cross,people from cross river state ,river or akwa ibom are promiscuous,promiscous ,['ukwuani'],Oluchi
,,,,,,,,,,,,,people from Akwa Ibom state,,promiscous ,,
You can't trust artisans,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,You can't trust artisans,you,artisans ,can't trust artisans,can't be trusted ,['ukwuani'],Oluchi
Suya sellers give extra,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,Suya sellers give extra,suya,suya sellers,sellers give extra,give extra,"['igbo', 'idoma']",Oluchi
Igbo women are beautiful,misc,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo women are beautiful,igbo women,,beautiful,,"['igbo', 'idoma']",Oluchi
lebou are fishermen,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,lebou are fishermen,lebou,lebou people,fishermen,,['caucasian'],Oluchi
wolof people are baol bao,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,wolof people are baol bao,wolof people,,are baol bao,,['caucasian'],Oluchi
pulaar people are discreet,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,pulaar people are discreet,pulaar people,,are discreet,,['caucasian'],Oluchi
sereer people are strong minded,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,sereer people are strong minded,sereer people,,are strong minded,,['caucasian'],Oluchi
griot are artists,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,griot are artists,griot,griots,artists,,['caucasian'],Oluchi
griots are creatives,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,griots are creatives,griots,,creatives,,['caucasian'],Oluchi
guards have a hard life,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,guards have a hard life,guards,,a hard life,,['caucasian'],Oluchi
cops are corrupted,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,cops are corrupted,cops,,corrupted,,['caucasian'],Oluchi
gendarmes are less corrupted,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,gendarmes are less corrupted,gendarmes,,less corrupted,not corrupt,['caucasian'],Oluchi
waiters are fun,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,waiters are fun,waiters,,fun,,['caucasian'],Oluchi
waiters are nice,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,waiters are nice,waiters,,nice,,['caucasian'],Oluchi
street vendors are brave,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,no,street vendors are brave,street vendors,,brave,,['caucasian'],Oluchi
fruit vendors make good money,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,af,fruit vendors make good money,fruit,fruit vendors,vendors make good money,make good money,['caucasian'],Oluchi
fruit vendors are pulaar,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,Fruit Vendors Are Pulaar,fruit vendors,,pulaar,,['caucasian'],Oluchi
coffee vendors are pulaar,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,coffee vendors are pulaar,coffee vendors,,pulaar,,['caucasian'],Oluchi
Entrepreneurs are crazy,misc,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Entrepreneurs are crazy,entrepreneurs,,crazy,,['caucasian'],Oluchi
Women must have children,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women must have children,women must,women,children,must have children,"['yoruba', 'ibibio']",Oluchi
Ibibio people (women) can cook,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Ibibio people (women) can cook,ibibio people,ibibio women,(women) can cook,can cook,"['yoruba', 'ibibio']",Oluchi
Ibibio girls are prostitutes,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,it,Ibibio girls are prostitutes,ibibio girls,,prostitutes,,"['yoruba', 'ibibio']",Oluchi
Ibibio people are househelps,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Ibibio people are househelps,ibibio people,,are househelps,,"['yoruba', 'ibibio']",Oluchi
Skitmakers are secret money launderers,profession,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,no,Skitmakers are secret money launderers,skitmakers,,secret money launderers,,"['yoruba', 'ibibio']",Oluchi
[Female] content creators are secret sex workers,profession,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,[Female] content creators are secret sex workers,[female] content creators,female content creators,secret sex workers,,"['yoruba', 'ibibio']",Oluchi
Canadians are nice,ethnicity_region,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,ca,Canadians are nice,canadians,,nice,,['other_black'],Oluchi
tech people know everything,profession,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,en,tech people know everything,tech people,,know everything,,['other_black'],Oluchi
People from Central are greedy,ethnicity_region,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Central are greedy,people from central,people from central Kenya,are greedy,,"['luhya', 'luo']",Oluchi
People from Eastern are witches,ethnicity_region,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Eastern are witches,people from eastern,people from eastern Kenya,are witches,,"['luhya', 'luo']",Oluchi
people from nyanza are prideful,ethnicity_region,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,it,people from nyanza are prideful,people from nyanza,people from nyanza,are prideful,,"['luhya', 'luo']",Oluchi
Sales people are persuasive,profession,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,ca,Sales people are persuasive,sales people,,are persuasive,,"['luhya', 'luo']",Oluchi
les hommes mariés ne sont pas sportifs,men,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,married men are not athletic,married men,,not athletic,,['caucasian'],Oluchi
les lébous sont des pêcheurs,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Lébous are fishermen,lébous,lebou people,fishermen,,['caucasian'],Oluchi
les diolas sont petits,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The diolas are small,the diolas,doila people,small,,['caucasian'],Oluchi
les peuls sont très grands,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The Fulani are very large,the fulani,fulani people,very large,,['caucasian'],Oluchi
les peuls sont des nomades,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Fulani are nomads,fulani,fulani people,nomads,,['caucasian'],Oluchi
les peuls sont éleveurs,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Fulani are breeders,fulani,fulani people,breeders,,['caucasian'],Oluchi
les 2eme femmes sont les favorites,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The 2nd women are the favorites,the 2nd women,second wives,the favorites,,['caucasian'],Oluchi
les griots sont des artistes,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,griots are artists,griots,,artists,,['caucasian'],Oluchi
les personnes âgées font du diabète,age,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The elderly do diabetes,elderly,old people,do diabetes,diabetes,['caucasian'],Oluchi
les travailleurs du gouvernement sont corrompus,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,government workers are corrupt,government workers,,corrupt,,['caucasian'],Oluchi
les chauffeurs de taxi sont malpolis,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Taxi drivers are malpolis,taxi drivers,,malpolis,rude,['caucasian'],Oluchi
les sage-femmes sont rustres,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,midwives are rustic,midwives,,rustic,rude,['caucasian'],Oluchi
les sage-femmes font peur,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The midwives are scary,the midwives,midwives,scary,,['caucasian'],Oluchi
all women want to have children,women,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,all women want to have children,all women want to,women,children,want children,['idoma'],Oluchi
idoma men are cheats,ethnicity_region,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,idoma men are cheats,idoma men,,cheats,,['idoma'],Oluchi
idoma people are lazy,ethnicity_region,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,it,idoma people are lazy,idoma people,,are lazy,,['idoma'],Oluchi
GEN zs are lazy,age,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,pl,GEN zs are lazy,gen zs,gen Z's,lazy,,['idoma'],Oluchi
Gen Z complain about everything. Gen Z are lazy. Gen Z don't believe in hardwork,age,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Gen Z complain about everything,gen,gen Z's,z complain about everything,complain about everything,['kikuyu'],Oluchi
Gen Z complain about everything. Gen Z are lazy. Gen Z don't believe in hardwork,age,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Gen Z don't believe in hardwork,gen,gen Z's,z don't believe in hardwork,don't believe in hardwork,['kikuyu'],Oluchi
Matatu touts are rude,profession,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,fr,Matatu touts are rude,matatu touts,,rude,,['kikuyu'],Oluchi
Kenyans are polite,misc,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,id,Kenyans are polite,kenyans,,polite,,['kikuyu'],Oluchi
Christian's aren't disciplined in their religion,religion,12,Male,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Christian's aren't disciplined in their religion,christian's,christians,aren't disciplined in their religion,,['kikuyu'],Oluchi
Doctor's are smart,profession,12,Male,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Doctor's are smart,doctor's,doctors,smart,,['kikuyu'],Oluchi
People from mount Kenya are good in business. - what about other communities in business doing good?,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from mount Kenya are good in business,people from mount,people from mount Kenya,kenya are good in business,good in business,['kikuyu'],Oluchi
People from Kisii are associated with witchcraft,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Kisii are associated with witchcraft,people from kisii,kisii people,are associated with witchcraft,,['kikuyu'],Oluchi
People from Meru have anger issues,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Meru have anger issues,people from meru,meru people,have anger issues,,['kikuyu'],Oluchi
