stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
People from Ikwerre fight for land ownership over anything else,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Ikwerre fight for land ownership over anything else,['ukwuani'],people from ikwerre,fight for land ownership over anything else
People from Anambra are very industrious,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Anambra are very industrious,['ukwuani'],people from anambra,are very industrious
People from Anambra are rich,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Anambra are rich,['ukwuani'],people from anambra,are rich
People from Cross River or Akwa Ibom are promiscuous,ethnicity_region,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,People from Cross River or Akwa Ibom are promiscuous,['ukwuani'],people from cross,river or akwa ibom are promiscuous
You can't trust artisans,profession,0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,You can't trust artisans,['ukwuani'],you,can't trust artisans
Suya sellers give extra,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,Suya sellers give extra,"['igbo', 'idoma']",suya,sellers give extra
lebou are fishermen,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,lebou are fishermen,['caucasian'],lebou,fishermen
wolof people are baol bao,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,wolof people are baol bao,['caucasian'],wolof people,are baol bao
pulaar people are discreet,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,pulaar people are discreet,['caucasian'],pulaar people,are discreet
sereer people are strong minded,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,sereer people are strong minded,['caucasian'],sereer people,are strong minded
griot are artists,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,griot are artists,['caucasian'],griot,artists
griots are creatives,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,griots are creatives,['caucasian'],griots,creatives
mouride people are by fall,ethnicity_region,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,mouride people are by fall,['caucasian'],mouride people,are by fall
guards have a hard life,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,guards have a hard life,['caucasian'],guards,a hard life
cops are corrupted,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,cops are corrupted,['caucasian'],cops,corrupted
gendarmes are less corrupted,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,gendarmes are less corrupted,['caucasian'],gendarmes,less corrupted
waiters are fun,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,waiters are fun,['caucasian'],waiters,fun
waiters are nice,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,waiters are nice,['caucasian'],waiters,nice
street vendors are brave,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,no,street vendors are brave,['caucasian'],street vendors,brave
fruit vendors make good money,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,af,fruit vendors make good money,['caucasian'],fruit,vendors make good money
fruit vendors are pulaar,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,Fruit Vendors Are Pulaar,['caucasian'],fruit vendors,pulaar
coffee vendors are pulaar,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,coffee vendors are pulaar,['caucasian'],coffee vendors,pulaar
