stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
Women are less than men,women,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Women are less than men,Ukwuani *
Women should be family-oriented,women,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Women should be family-oriented,Ukwuani *
Women 'expire' after a certain age,women,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Women 'expire' after a certain age,Ukwuani *
Men  are strong,men,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,sv,Men  are strong,Ukwuani *
Men are the head,men,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Men are the head,Ukwuani *
Men do a lot of evil things,men,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Men do a lot of evil things,Ukwuani *
Hausas are religious extremists,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,fr,Hausas are religious extremists,Ukwuani *
Hausas are terrorists,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,et,Hausas are terrorists,Ukwuani *
Hausas are aggressive,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Hausas are aggressive,Ukwuani *
Hausas are uneducated,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Hausas are uneducated,Ukwuani *
Hausas have a regressive mindset,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Hausas have a regressive mindset,Ukwuani *
Yorubas are backstabbers,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Yorubas are backstabbers,Ukwuani *
Igbos love money,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Igbos love money,Ukwuani *
People from Ikwerre fight for land ownership over anything else,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,People from Ikwerre fight for land ownership over anything else,Ukwuani *
Igbos are rich,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Igbos are rich,Ukwuani *
People from Anambra are very industrious,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,People from Anambra are very industrious,Ukwuani *
People from Anambra are rich,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,People from Anambra are rich,Ukwuani *
People from Cross River or Akwa Ibom are promiscuous,ethnicity_region,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,People from Cross River or Akwa Ibom are promiscuous,Ukwuani *
Muslims are extremists,religion,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,ca,Muslims are extremists,Ukwuani *
Muslims are aggressive,religion,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Muslims are aggressive,Ukwuani *
